data_key,data_type,endpoint
bottom_to_slips_average,last24h,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27last24h%27%2C%20%27data.key%27%3A%20%27bottom_to_slips_average%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
bottom_to_slips_average,daily,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27daily%27%2C%20%27data.key%27%3A%20%27bottom_to_slips_average%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
bottom_to_slips_average,weekly,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27weekly%27%2C%20%27data.key%27%3A%20%27bottom_to_slips_average%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
tripping_in_connection_time_cased_average,last24h,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27last24h%27%2C%20%27data.key%27%3A%20%27tripping_in_connection_time_cased_average%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
tripping_in_connection_time_cased_average,daily,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27daily%27%2C%20%27data.key%27%3A%20%27tripping_in_connection_time_cased_average%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
tripping_in_connection_time_cased_average,weekly,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27weekly%27%2C%20%27data.key%27%3A%20%27tripping_in_connection_time_cased_average%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
tripping_in_speed_cased,last24h,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27last24h%27%2C%20%27data.key%27%3A%20%27tripping_in_speed_cased%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
tripping_in_speed_cased,daily,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27daily%27%2C%20%27data.key%27%3A%20%27tripping_in_speed_cased%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
tripping_in_speed_cased,weekly,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27weekly%27%2C%20%27data.key%27%3A%20%27tripping_in_speed_cased%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
tripping_in_speed_cased_with_connection,last24h,https://data.corva.ai/v1/data/corva/metrics?aggregate=%5B%7B%27%24match%27%3A%20%7B%27data.asset_id%27%3A%2038388721%2C%20%27data.type%27%3A%20%27last24h%27%2C%20%27data.key%27%3A%20%27tripping_in_speed_cased_with_connection%27%2C%20%27company_id%27%3A%20375%7D%7D%2C%20%7B%27%24project%27%3A%20%7B%27data.value%27%3A%201%2C%20%27timestamp%27%3A%201%2C%20%27data.key%27%3A%201%7D%7D%2C%20%7B%27%24sort%27%3A%20%7B%27timestamp%27%3A%20-1%7D%7D%2C%20%7B%27%24limit%27%3A%2040%7D%5D&asset_id=38388721
